passports biographics,hmpo.passportBiographics,HMPO,visaAndImmigration.immigrationStatusBiographics; visaAndImmigration.asylumStatusBiographics; visaAndImmigration.visaStatusBiographics,structured,shared,
passport - biometrics,hmpo.passportBiometrics,HMPO,visaAndImmigration.immigrationStatusBiometrics; visaAndImmigration.asylumStatusBiometrics; visaAndImmigration.visaStatusBiometrics,structured,shared,
offender,hmpps.custodyAndCommunities.offender,HMPPS,dwp.benefits; hmpps.probation.caseWork,structured,shared,PNOMIS; OASYS; NDELIUS; Visor
incidents,hmpps.custodyAndCommunities.incidents,HMPPS,,structured,closed,Mercury
staff,hmpps.corporate.staff,HMPPS,,structured,closed,
accidents,hmpps.custody.accidents,HMPPS,,structured,closed,
intelligence,hmpps.custody.intelligence,HMPPS,police.national.intelligence,structured,shared,
visits,hmpps.custody.visits,HMPPS,,structured,closed,Prison Visits Booking
foreign national prisoners,hmpps.custody.foreignNationalPrisoners,HMPPS,,structured,closed,
prisoner escort court service,hmpps.corporate.prisonerEscortCourtService,HMPPS,,structured,closed,
electronic monitoring,hmpps.electronicMonitoring,HMPPS,,structured,closed,
programmes/interventions,hmpps.custodyAndCommunities.programmesInterventions,HMPPS,,structured,closed,
offender learning,hmpps.custodyAndCommunities.offenderLearning,HMPPS,,structured,closed,IAPS; Offender Course Management System
finance,hmpps.custodyAndCommunities.finance,HMPPS,,structured,closed,
procurement,hmpps.custodyAndCommunities.procurement,HMPPS,,structured,closed,
public protection casework section,hmpps.custody.publicProtectionCaseworkSection,HMPPS,,structured,closed,
bail; accommodation and support services,hmpps.bailAccommodationAndSupportServices,HMPPS,,structured,closed,
incidents,hmpps.custodyAndContracts.incidents,HMPPS,hmpps.probation.caseWork,structured,shared,
community rehabilitation companies,hmpps.communityRehabilitationCompanies,HMPPS,hmpps.custodyAndContracts.incidents,structured,closed,
private prisons,hmpps.privatePrisons,HMPPS,hmpps.custodyAndContracts.incidents,structured,closed,
audits / inspections,hmpps.custodyCommunityAndContracts.auditsInspections,HMPPS,hmpps.communityRehabilitationCompanies; hmpps.privatePrisons,structured,closed,
